"phenotype_category","code","description","code_system","clinical_subcategory","phenotype_name","rank"
"Acute Respiratory Infection","A163","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confir","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A164","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological con","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A165","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A167","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A168","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A169","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmatio","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A481","Legionnaires disease","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J12","Viral pneumonia, not elsewhere classified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J120","Adenoviral pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J121","Respiratory syncytial virus pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J122","Parainfluenza virus pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J123","Human metapneumovirus pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J128","Other viral pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J129","Viral pneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J13","Pneumonia due to Streptococcus pneumoniae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J14","Pneumonia due to Haemophilus influenzae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J15","Bacterial pneumonia, not elsewhere classified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J150","Pneumonia due to Klebsiella pneumoniae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J151","Pneumonia due to Pseudomonas","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J152","Pneumonia due to staphylococcus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J153","Pneumonia due to streptococcus, group B","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J154","Pneumonia due to other streptococci","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J155","Pneumonia due to Escherichia coli","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J156","Pneumonia due to other aerobic Gram-negative bacteria","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J157","Pneumonia due to Mycoplasma pneumoniae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J158","Other bacterial pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J159","Bacterial pneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J16","Pneumonia due to other infectious organisms, not elsewhere classified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J160","Chlamydial pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J168","Pneumonia due to other specified infectious organisms","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J17","Pneumonia in diseases classified elsewhere","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J170","Pneumonia in bacterial diseases classified elsewhere","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J171","Pneumonia in viral diseases classified elsewhere","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J172","Pneumonia in mycoses","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J173","Pneumonia in parasitic diseases","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J178","Pneumonia in other diseases classified elsewhere","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J18","Pneumonia, organism unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J180","Bronchopneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J181","Lobar pneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J182","Hypostatic pneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J188","Other pneumonia, organism unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J189","Pneumonia, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J20","Acute bronchitis","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J200","Acute bronchitis due to Mycoplasma pneumoniae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J201","Acute bronchitis due to Haemophilus influenzae","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J202","Acute bronchitis due to streptococcus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J203","Acute bronchitis due to coxsackievirus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J204","Acute bronchitis due to parainfluenza virus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J205","Acute bronchitis due to respiratory syncytial virus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J206","Acute bronchitis due to rhinovirus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J207","Acute bronchitis due to echovirus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J208","Acute bronchitis due to other specified organisms","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J209","Acute bronchitis, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J21","Acute bronchiolitis","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J210","Acute bronchiolitis due to respiratory syncytial virus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J211","Acute bronchiolitis due to human metapneumovirus","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J218","Acute bronchiolitis due to other specified organisms","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J219","Acute bronchiolitis, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J22","Unspecified acute lower respiratory infection","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J40","Bronchitis, not specified as acute or chronic","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J440","Chronic obstructive pulmonary disease with acute lower respiratory infection","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J441","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J85","Abscess of lung and mediastinum","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J850","Gangrene and necrosis of lung","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J851","Abscess of lung with pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J852","Abscess of lung without pneumonia","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J853","Abscess of mediastinum","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J86","Pyothorax","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J860","Pyothorax with fistula","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","J869","Pyothorax without fistula","ICD10 codes","Respiratory Tract Infection - Secondary care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","A186","Tuberculosis of ear","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","A360","Pharyngeal diphtheria","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","A361","Nasopharyngeal diphtheria","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","A362","Laryngeal diphtheria","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","A545","Gonococcal pharyngitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","A564","Chlamydial infection of pharynx","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","B053","Measles complicated by otitis media","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","B27","Infectious mononucleosis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","B442","Tonsillar aspergillosis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","B873","Nasopharyngeal myiasis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","B874","Aural myiasis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H60","Otitis externa","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H620","Otitis externa in bacterial diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H621","Otitis externa in viral diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H622","Otitis externa in mycoses","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H623","Otitis externa in other infectious and parasitic diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H624","Otitis externa in other diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H65","Nonsuppurative otitis media","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H66","Suppurative and unspecified otitis media","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H67","Otitis media in diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H70","Mastoiditis and related conditions","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H730","Acute myringitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H731","Chronic myringitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H750","Mastoiditis in infectious and parasitic diseases classified elsewhere","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J00","Acute nasopharyngitis [common cold]","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J01","Acute sinusitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J02","Acute pharyngitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J03","Acute tonsillitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J04","Acute laryngitis and tracheitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J05","Acute obstructive laryngitis [croup] and epiglottitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J06","Acute upper respiratory infections of multiple and unspecified sites","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J340","Abscess, furuncle and carbuncle of nose","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J36","Peritonsillar abscess","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J37","Chronic laryngitis and laryngotracheitis","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J390","Retropharyngeal and parapharyngeal abscess","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","J391","Other abscess of pharynx","ICD10 codes","Ear and Upper Respiratory Tract Infections - Secondary care - Diagnoses","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H06..00","Acute bronchitis and bronchiolitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060.00","Acute bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060000","Acute fibrinous bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060.11","Acute wheezy bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060300","Acute purulent bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060400","Acute croupous bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060500","Acute tracheobronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060600","Acute pneumococcal bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060700","Acute streptococcal bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060800","Acute haemophilus influenzae bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060A00","Acute bronchitis due to mycoplasma pneumoniae","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060x00","Acute bacterial bronchitis unspecified","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H060z00","Acute bronchitis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H061.00","Acute bronchiolitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H061000","Acute capillary bronchiolitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H061200","Acute bronchiolitis with bronchospasm","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H061300","Acute exudative bronchiolitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H061z00","Acute bronchiolitis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H062.00","Acute lower respiratory tract infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z.00","Acute bronchitis or bronchiolitis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z000","Chest infection NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z011","Chest infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z100","Lower resp tract infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z111","Respiratory tract infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z112","Acute lower respiratory tract infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H06z200","Recurrent chest infection","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H24..11","Chest infection with infectious disease EC","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H30..00","Bronchitis unspecified","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H300.00","Tracheobronchitis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H301.00","Laryngotracheobronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H30..11","Chest infection - unspecified bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H30..12","Recurrent wheezy bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H302.00","Wheezy bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H30z.00","Bronchitis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H34..00","Bronchiectasis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H340.00","Recurrent bronchiectasis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H341.00","Post-infective bronchiectasis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H34z.00","Bronchiectasis NOS","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H50..00","Empyema","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H500100","Empyema with bronchopleural fistula","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H501200","Pleural empyema","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H501400","Purulent pleurisy","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H51..00","Pleurisy","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H510300","Acute dry pleurisy","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H510900","Pneumococcal pleurisy","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H583200","Eosinophilic bronchitis","Read codes v2","Lower respiratory tract infection - Primary Care","Lower Respiratory Tract infection",1
"Acute Respiratory Infection","H0...00","Acute respiratory infections","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H04..00","Acute laryngitis and tracheitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040.00","Acute laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040000","Acute oedematous laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040100","Acute ulcerative laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040200","Acute catarrhal laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040300","Acute phlegmonous laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040600","Acute suppurative laryngitis","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
"Acute Respiratory Infection","H040x00","Acute bacterial laryngitis unspecified","Read codes v2","Upper Respiratory Tract Infection - Primary Care","Ear and Upper Respiratory Tract Infections",1
